,Say,g1,g2,g3,g4,g5,timestamp
85,EU,-8.981684684753418,-4.117216110229492,-2.4761905670166016,-2.827838897705078,-0.27838829159736633,1575905394.855411
86,AR,-5.72893762588501,-10.124541282653809,-5.377289295196533,-5.875457763671875,-8.014652252197266,1576079281.487296
87,OO,-10.945053100585938,-7.838827610015869,-8.043953895568848,-7.223443031311035,-3.0036630630493164,1575908144.341506
88,AR,-19.208789825439453,-20.46886444091797,-19.97069549560547,-15.047618865966797,-12.849817276000977,1576079704.877974
89,AA,-11.531134605407715,-5.582415580749512,-2.9450531005859375,0.0,0.0,1575906355.680184
90,AR,0.0,1.0,0.0,0.0,0.0,1576046451.176753
91,EU,-4.996336936950684,-10.44688606262207,-18.153844833374023,-13.289377212524414,-13.025641441345215,1576078101.496294
92,EU,-19.47252655029297,-10.065932273864746,-10.7692289352417,-9.743589401245117,-11.003662109375,1575905090.738025
93,AA,-10.915749549865723,-10.974358558654785,-11.706958770751953,-16.043954849243164,-11.413919448852539,1576056463.498172
94,AA,-16.747251510620117,-7.311355113983154,0.0,-9.216116905212402,-16.190475463867188,1576055946.830004
95,AA,-12.820512771606445,-15.223443031311035,-12.029304504394531,-8.043953895568848,-22.959707260131836,1576051522.19802
96,OO,-16.747251510620117,-7.311355113983154,0.0,-9.216116905212402,-16.190475463867188,1576055956.476694
97,EU,-3.1501832008361816,0.0,-6.666666507720947,-2.1538443565368652,0.0,1576050899.695607
98,AR,-23.399267196655273,-16.835163116455078,-12.673992156982422,-10.739925384521484,-12.70329475402832,1575905040.59934
99,AR,-8.24908447265625,-10.007326126098633,-14.490842819213867,-2.505492687225342,-15.692306518554688,1576062381.6655722
100,AR,-11.120877265930176,-11.267398834228516,-15.48717975616455,-10.886446952819824,-11.296701431274414,1576081476.873519
101,EE,-21.67032814025879,-24.0,-17.919414520263672,-18.44688606262207,-21.05494499206543,1575906976.108758
102,EU,-5.377289295196533,-12.322343826293945,-9.80219554901123,-13.14285659790039,-9.098898887634277,1576081691.0716891
103,AA,-12.351646423339844,-7.399267196655273,-2.710622787475586,-3.5311355590820312,-13.435897827148438,1576057201.567549
104,AR,-4.9377288818359375,-5.641025543212891,-5.054943084716797,-3.5311355590820312,-10.5054931640625,1576057145.80927
105,OO,1.0,0.0,1.0,1.0,0.0,1576046991.595902
106,OO,-9.919413566589355,-12.732601165771484,-8.981684684753418,-12.439558982849121,-9.39194107055664,1576051305.5667238
107,AR,-3.238095283508301,-7.926739692687988,-4.527470588684082,-5.963369846343994,-10.183150291442871,1576050505.009035
108,OO,-5.72893762588501,-4.117216110229492,-2.4761905670166016,-2.827838897705078,-0.27838829159736633,1575905405.460466
109,OO,-20.293041229248047,-6.139194011688232,-4.70329475402832,-10.35897445678711,-21.992673873901367,1576053661.266989
110,EU,-22.256410598754883,-8.102563858032227,-1.4212454557418823,-10.35897445678711,-21.992673873901367,1576053640.579269
111,AA,-21.67032814025879,-24.0,-17.919414520263672,-18.44688606262207,-21.05494499206543,1575906986.994427
112,AA,-9.216116905212402,-9.479853630065918,-8.981684684753418,-9.362635612487793,-11.120877265930176,1576051298.923758
113,EU,-19.97069549560547,-13.64102554321289,-11.120877265930176,-16.864469528198242,-9.567765235900879,1575903496.635898
114,AR,-11.853479385375977,0.0,0.0,0.0,0.0,1575906291.6895928
115,OO,-21.699634552001953,-18.769229888916016,-17.684982299804688,-19.384614944458008,-21.172161102294922,1576078830.677418
116,OO,-12.351646423339844,-7.399267196655273,-2.710622787475586,-3.5311355590820312,-10.183150291442871,1576057209.259026
117,AR,-17.567766189575195,-6.754578590393066,-12.468864440917969,-7.897435665130615,-13.963370323181152,1575904018.5734692
118,AR,-14.60805892944336,-3.7069597244262695,-18.300365447998047,-3.267399311065674,-11.062271118164062,1575907297.963042
119,OO,-7.663003444671631,-12.322343826293945,-9.80219554901123,-13.14285659790039,-13.289377212524414,1576081706.450192
120,AA,-12.556777000427246,-18.27106285095215,-17.21611785888672,-21.318679809570312,-19.912086486816406,1576033821.965064
121,EU,-18.241756439208984,-10.300365447998047,-17.86080551147461,-2.9157509803771973,-10.827837944030762,1576046514.6639318
122,EU,0.0,-6.930402755737305,-16.512821197509766,-21.699634552001953,-23.428569793701172,1576051964.6525478
123,AA,-20.293041229248047,-6.139194011688232,-4.70329475402832,-10.35897445678711,-21.992673873901367,1576053655.3971171
124,EU,-16.33699607849121,-12.879119873046875,-16.659339904785156,-14.373625755310059,-11.706958770751953,1576077889.272681
125,AR,-0.16117216646671295,-4.761904716491699,-2.710622787475586,-3.0915751457214355,-8.51282024383545,1576046843.335417
126,OO,-12.820512771606445,-15.223443031311035,-12.029304504394531,-8.043953895568848,-22.959707260131836,1576051523.923347
127,EU,-11.150182723999023,-9.186811447143555,-2.769228935241699,-13.787546157836914,-7.428569793701172,1576057491.916455
128,EU,-7.428569793701172,-10.974358558654785,-11.706958770751953,-16.043954849243164,-7.018314838409424,1576056460.78047
129,EE,-14.959707260131836,-6.8424906730651855,-7.545787334442139,-9.098898887634277,-11.531134605407715,1575905800.216393
130,EE,-15.633699417114258,-16.131866455078125,-16.16117286682129,-16.424907684326172,-15.076922416687012,1576079780.3184872
131,EU,-15.135531425476074,-14.578754425048828,-14.46153736114502,-16.043954849243164,-18.59340476989746,1576047561.651927
132,AA,-4.732600688934326,-4.117216110229492,-2.4761905670166016,-2.827838897705078,-0.27838829159736633,1575905400.539257
133,AR,1.0,1.0,1.0,1.0,1.0,1576046943.095082
134,AR,1.0,0.0,1.0,1.0,0.0,1576046984.651754
135,EE,0.0,-9.30402946472168,-13.054944038391113,-6.578754425048828,0.0,1575903881.6302361
136,EE,-10.945053100585938,-7.838827610015869,-8.043953895568848,-7.223443031311035,-3.0036630630493164,1575908112.824291
137,AA,-2.769228935241699,-7.926739692687988,-4.527470588684082,-5.963369846343994,-10.739925384521484,1576050574.424629
138,OO,-12.263734817504883,0.0,-6.666666507720947,-2.1538443565368652,0.0,1576050919.4586139
139,AA,-16.33699607849121,-19.619047164916992,-10.945053100585938,-5.025640964508057,-11.619047164916992,1576056965.5051432
140,EE,-9.479853630065918,-7.399267196655273,-2.710622787475586,-3.5311355590820312,-6.051281929016113,1576057170.943939
141,EU,-22.754579544067383,-20.117216110229492,-15.223443031311035,-19.208789825439453,-21.172161102294922,1576078771.158433
142,AR,1.0,1.0,1.0,1.0,1.0,1576048395.342605
143,AR,-16.33699607849121,-19.619047164916992,-10.945053100585938,-5.025640964508057,-11.619047164916992,1576056902.934077
144,EU,-11.765567779541016,-14.725274085998535,-13.816849708557129,-13.64102554321289,-9.30402946472168,1576080541.0200272
145,OO,-17.714284896850586,-17.128204345703125,-18.710622787475586,-19.706958770751953,-20.351648330688477,1576053445.5344791
146,AR,-2.65201473236084,-2.065932273864746,-8.278388023376465,-9.890108108520508,-10.124541282653809,1575906029.31113
147,OO,-5.5531134605407715,-7.956042289733887,-6.989009380340576,-5.34798526763916,-8.131866455078125,1576047333.793567
148,EU,1.0,0.0,1.0,1.0,0.0,1576046987.484682
149,AA,-21.699634552001953,-19.53113555908203,-17.684982299804688,-17.157508850097656,-21.172161102294922,1576078801.612499
150,EE,-13.787546157836914,-14.725274085998535,-13.816849708557129,-13.64102554321289,-12.820512771606445,1576080511.5170841
